county_name,population_2022,county_fips,district,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
ACCOMACK,33191,51001,2,NORTHUMBERLAND,LANCASTER,MIDDLESEX,MATHEWS,NORTHAMPTON,,,,,,,
ALBEMARLE,114534,51003,5,CHARLOTTESVILLE CITY,NELSON,AUGUSTA,ROCKINGHAM,GREENE,ORANGE,LOUISA,FLUVANNA,BUCKINGHAM,NELSON,,
ALEXANDRIA CITY,155525,51510,8,FAIRFAX,ARLINGTON,,,,,,,,,,
ALLEGHANY,14835,51005,6,CRAIG,BATH,BOTETOURT,COVINGTON CITY,ROCKBRIDGE,,,,,,,
AMELIA,13455,51007,5,PRINCE EDWARD,CUMBERLAND,POWHATAN,CHESTERFIELD,DINWIDDIE,NOTTOWAY,,,,,,
AMHERST,31589,51009,5,ROCKBRIDGE,NELSON,APPOMATTOX,CAMPBELL,BEDFORD,LYNCHBURG CITY,,,,,,
APPOMATTOX,16748,51011,5,CAMPBELL,AMHERST,NELSON,BUCKINGHAM,PRINCE EDWARD,CHARLOTTE,,,,,,
ARLINGTON,234000,51013,8,FAIRFAX,FALLS CHURCH CITY,ALEXANDRIA CITY,,,,,,,,,
AUGUSTA,78064,51015,6,HIGHLAND,ROCKINGHAM,ALBEMARLE,NELSON,ROCKBRIDGE,BATH,STAUNTON CITY,WAYNESBORO CITY,,,,
BATH,4049,51017,6,ALLEGHANY,HIGHLAND,AUGUSTA,ROCKBRIDGE,,,,,,,,
BEDFORD,80848,51019,9,ROANOKE,BOTETOURT,ROCKBRIDGE,AMHERST,LYNCHBURG CITY,CAMPBELL,PITTSYLVANIA,FRANKLIN,BEDFORD CITY,,,
BLAND,6148,51021,9,TAZEWELL,GILES,WYTHE,PULASKI,SMYTH,,,,,,,
BOTETOURT,34135,51023,6,CRAIG,ALLEGHANY,ROCKBRIDGE,BEDFORD,ROANOKE,,,,,,,
BRISTOL CITY,16975,51520,9,WASHINGTON,,,,,,,,,,,
BRUNSWICK,15921,51025,4,MECKLENBURG,LUNENBURG,NOTTOWAY,DINWIDDIE,GREENSVILLE,,,,,,,
BUCHANAN,19352,51027,9,RUSSELL,TAZEWELL,DICKENSON,,,,,,,,,
BUCKINGHAM,16982,51029,5,APPOMATTOX,NELSON,ALBEMARLE,FLUVANNA,CUMBERLAND,PRINCE EDWARD,,,,,,
BUENA VISTA CITY,6591,51530,6,ROCKBRIDGE,,,,,,,,,,,
CAMPBELL,55141,51031,5,BEDFORD,LYNCHBURG CITY,AMHERST,APPOMATTOX,CHARLOTTE,HALIFAX,PITTSYLVANIA,,,,,
CAROLINE,31957,51033,7,HANOVER,SPOTSYLVANIA,KING GEORGE,STAFFORD,ESSEX,KING AND QUEEN,KING WILLIAM,,,,,
CARROLL,29147,51035,9,GALAX CITY,WYTHE,PULASKI,FLOYD,PATRICK,GRAYSON,,,,,,
CHARLES CITY,6605,51036,4,HENRICO,NEW KENT,JAMES CITY,PRINCE GEORGE,CHESTERFIELD,SURRY,,,,,,
CHARLOTTE,11475,51037,5,HALIFAX,CAMPBELL,APPOMATTOX,PRINCE EDWARD,LUNENBURG,MECKLENBURG,,,,,,
CHARLOTTESVILLE CITY,45373,51540,5,ALBEMARLE,,,,,,,,,,,
CHESAPEAKE CITY,252488,51550,2,SUFFOLK CITY,VIRGINIA BEACH CITY,PORTSMOUTH CITY,NORFOLK CITY,,,,,,,,
CHESTERFIELD,378408,51041,4,AMELIA,POWHATAN,RICHMOND CITY,COLONIAL HEIGHTS CITY,HOPEWELL CITY,PRINCE GEORGE,DINWIDDIE,CHARLES CITY,GOOCHLAND,HENRICO,,
CLARKE,15266,51043,6,FREDERICK,WARREN,FAUQUIER,LOUDOUN,,,,,,,,
COLONIAL HEIGHTS CITY,18294,51570,4,CHESTERFIELD,PRINCE GEORGE,PETERSBURG CITY,DINWIDDIE,,,,,,,,
COVINGTON CITY,5679,51580,6,ALLEGHANY,,,,,,,,,,,
CRAIG,4847,51045,9,GILES,MONTGOMERY,ROANOKE,BOTETOURT,ALLEGHANY,,,,,,,
CULPEPER,54381,51047,7,MADISON,RAPPAHANNOCK,FAUQUIER,STAFFORD,SPOTSYLVANIA,ORANGE,,,,,,
CUMBERLAND,9746,51049,5,BUCKINGHAM,FLUVANNA,GOOCHLAND,POWHATAN,AMELIA,PRINCE EDWARD,,,,,,
DANVILLE CITY,42229,51590,5,PITTSYLVANIA,,,,,,,,,,,
DICKENSON,13725,51051,9,WISE,BUCHANAN,RUSSELL,,,,,,,,,
DINWIDDIE,28161,51053,4,BRUNSWICK,NOTTOWAY,AMELIA,CHESTERFIELD,PETERSBURG CITY,COLONIAL HEIGHTS CITY,PRINCE GEORGE,SUSSEX,GREENSVILLE,,,
EMPORIA CITY,5481,51595,4,GREENSVILLE,,,,,,,,,,,
ESSEX,10630,51057,1,CAROLINE,KING GEORGE,RICHMOND,LANCASTER,MIDDLESEX,KING AND QUEEN,CAROLINE,WESTMORELAND,,,,
FAIRFAX,1138331,51059,11,FAIRFAX CITY,FALLS CHURCH CITY,LOUDOUN,PRINCEWILLIAM,ARLINGTON,ALEXANDRIA CITY,,,,,,
FAIRFAX CITY,24835,51600,11,FAIRFAX,,,,,,,,,,,
FALLS CHURCH CITY,14586,51610,8,FAIRFAX,ARLINGTON,,,,,,,,,,
FAUQUIER,74664,51061,10,CULPEPER,RAPPAHANNOCK,WARREN,CLARKE,LOUDOUN,PRINCEWILLIAM,STAFFORD,,,,,
FLOYD,15619,51063,9,PULASKI,CARROLL,MONTGOMERY,ROANOKE,FRANKLIN,PATRICK,,,,,,
FLUVANNA,28159,51065,5,ALBEMARLE,LOUISA,GOOCHLAND,CUMBERLAND,BUCKINGHAM,,,,,,,
FRANKLIN,55074,51067,9,FLOYD,ROANOKE,BEDFORD,PITTSYLVANIA,HENRY,PATRICK,,,,,,
FRANKLIN CITY,8247,51620,2,SOUTHAMPTON,ISLE OF WIGHT,,,,,,,,,,
FREDERICK,95051,51069,6,SHENANDOAH,WARREN,CLARKE,WINCHESTER CITY,,,,,,,,
FREDERICKSBURG CITY,28757,51630,7,SPOTSYLVANIA,STAFFORD,,,,,,,,,,
GALAX CITY,6730,51640,9,GRAYSON,CARROLL,,,,,,,,,,
GILES,16453,51071,9,BLAND,CRAIG,PULASKI,MONTGOMERY,,,,,,,,
GLOUCESTER,39493,51073,1,KING WILLIAM,KING AND QUEEN,MIDDLESEX,MATHEWS,YORK,NORTHAMPTON,POQUOSON CITY,JAMES CITY,NEW KENT,KING WILLIAM,,
GOOCHLAND,26109,51075,5,FLUVANNA,LOUISA,HANOVER,HENRICO,CHESTERFIELD,POWHATAN,CUMBERLAND,,,,,
GRAYSON,15343,51077,9,WASHINGTON,SMYTH,WYTHE,CARROLL,GALAX CITY,,,,,,,
GREENE,21107,51079,7,ALBEMARLE,ROCKINGHAM,PAGE,MADISON,ORANGE,,,,,,,
GREENSVILLE,11226,51081,4,BRUNSWICK,SUSSEX,DINWIDDIE,SOUTHAMPTON,EMPORIA CITY,,,,,,,
HALIFAX,33644,51083,5,PITTSYLVANIA,CAMPBELL,CHARLOTTE,MECKLENBURG,,,,,,,,
HAMPTON CITY,138037,51650,3,POQUOSON CITY,YORK,NEWPORT NEWS CITY,NORFOLK CITY,PORTSMOUTH CITY,NORTHAMPTON,MATHEWS,SUFFOLK CITY,VIRGINIA BEACH CITY,,,
HANOVER,112938,51085,1,LOUISA,SPOTSYLVANIA,CAROLINE,KING WILLIAM,NEW KENT,HENRICO,GOOCHLAND,,,,,
HARRISONBURG CITY,51158,51660,6,ROCKINGHAM,,,,,,,,,,,
HENRICO,333962,51087,4,GOOCHLAND,HANOVER,NEW KENT,CHARLES CITY,CHESTERFIELD,RICHMOND CITY,POWHATAN,,,,,
