GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APLBE001,APLBE002,APLBE003,APLBE004,APLBE005,APLBE006,APYUE001,APYUE002,APYUE003,APYUE004,APYUE005,APYUE006,APYUE007,APYUE008,APYUE009,APYUE010,APYUE011,APYUE012,APYUE013,APYUE014,APYUE015,APYUE016,APYUE017,APYUE018,APYUE019,APYUE020,APYUE021,APYUE022,APYUE023,APYUE024,APYUE025,APYUE026,APYUE027,APYUE028,APYUE029,APYUE030,APYUE031,APYUE032,APYUE033,APYUE034,APYUE035,APYUE036,APYUE037,APYUE038,APYUE039,APYUE040,APYUE041,APYUE042,APYUE043,APYUE044,APYUE045,APYUE046,APYUE047,APYUE048,APYUE049,APYUE050,APYUE051,APYUE052,APYUE053,APYUE054,APYUE055,APYUE056,APYUE057,APYUE058,APYUE059,AP38E001,NAME_M,APLBM001,APLBM002,APLBM003,APLBM004,APLBM005,APLBM006,APYUM001,APYUM002,APYUM003,APYUM004,APYUM005,APYUM006,APYUM007,APYUM008,APYUM009,APYUM010,APYUM011,APYUM012,APYUM013,APYUM014,APYUM015,APYUM016,APYUM017,APYUM018,APYUM019,APYUM020,APYUM021,APYUM022,APYUM023,APYUM024,APYUM025,APYUM026,APYUM027,APYUM028,APYUM029,APYUM030,APYUM031,APYUM032,APYUM033,APYUM034,APYUM035,APYUM036,APYUM037,APYUM038,APYUM039,APYUM040,APYUM041,APYUM042,APYUM043,APYUM044,APYUM045,APYUM046,APYUM047,APYUM048,APYUM049,APYUM050,APYUM051,APYUM052,APYUM053,APYUM054,APYUM055,APYUM056,APYUM057,APYUM058,APYUM059,AP38M001
"G0100030","2022","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"0500000US01003","01003","Baldwin County, Alabama",246435,233739,838,2548,3857,5453,241525,32313,16094,1569,648,2049,1020,0,896,462,2673,1408,1280,2621,1034,434,16219,1141,0,265,702,228,315,2103,1658,3026,1852,2666,819,1444,209212,101308,4864,1292,5079,3827,1800,2706,7936,11220,12737,13455,14098,13694,8600,107904,4526,1977,7840,3383,1025,2406,5532,12251,11727,15476,15207,15759,10795,0.4727,"Baldwin County, Alabama",,2031,728,1064,1230,1267,1157,5124,3125,856,800,1099,643,208,705,321,1325,1008,717,1166,654,347,2874,803,208,287,602,287,381,1230,852,1158,1204,1073,491,813,5301,2957,486,736,1343,1190,801,1012,861,1012,955,918,1119,685,505,3311,398,897,1384,1147,628,661,1093,990,1042,1139,1361,914,989,0.0244
"G0100150","2022","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"0500000US01015","01015","Calhoun County, Alabama",115788,111951,189,1265,1647,736,111451,20450,7609,781,512,635,354,0,227,895,710,1022,914,827,647,85,12841,1264,24,1136,907,429,506,1416,1973,805,1438,1442,1271,230,91001,47524,2988,195,3567,1539,807,1163,4419,6645,5490,5844,6471,5203,3193,43477,1628,216,2649,1147,237,1322,3521,4932,5557,5741,6089,5785,4653,0.4600,"Calhoun County, Alabama",,1043,305,689,647,561,206,3646,1577,620,485,427,323,208,220,677,574,517,439,469,403,99,2766,772,43,624,706,399,392,630,768,392,853,510,596,165,3654,1735,792,191,956,813,357,445,869,963,1056,974,512,536,392,2671,687,198,890,560,324,452,923,907,709,1003,577,764,463,0.0354
"G0100430","2022","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"0500000US01043","01043","Cullman County, Alabama",90665,87707,136,461,676,1685,89595,16019,6889,1358,467,369,136,0,271,832,802,650,693,651,398,262,9130,226,45,1011,130,0,184,825,1679,1174,1368,1168,324,996,73576,37676,1789,361,2966,1248,736,915,2795,5066,4737,4878,5356,4205,2624,35900,2039,791,1958,1438,656,957,2428,4273,4185,4242,4899,4984,3050,0.4701,"Cullman County, Alabama",,724,210,336,433,682,123,2982,1687,730,517,334,138,208,257,495,575,384,402,349,326,249,1885,271,77,683,228,208,274,534,571,565,679,540,217,457,2990,1782,642,276,643,587,318,359,518,604,446,494,367,352,310,2037,167,556,632,449,383,459,532,640,588,720,576,258,479,0.0428
"G0100490","2022","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"0500000US01049","01049","DeKalb County, Alabama",71998,66153,0,797,1969,3079,70267,13967,5242,998,133,307,154,638,169,133,572,845,341,315,435,202,8725,731,62,111,270,424,174,646,1003,2040,613,1206,672,773,56300,29742,913,215,2703,1236,189,700,3334,3484,3713,3922,4350,3208,1775,26558,1099,258,2283,1083,799,342,2455,2958,2845,3819,3311,3235,2071,0.4363,"DeKalb County, Alabama",,1614,208,990,1707,919,1171,2929,1561,411,157,228,211,527,186,252,427,570,279,229,307,177,1900,306,88,119,287,521,279,383,446,860,343,638,421,378,3108,1617,343,191,659,518,155,323,392,383,662,447,437,346,197,1918,186,205,631,554,355,332,467,557,735,428,637,402,501,0.0265
"G0100510","2022","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"0500000US01051","01051","Elmore County, Alabama",89563,86504,134,1047,1237,641,85226,9133,4162,634,63,388,252,0,0,209,417,431,576,581,545,66,4971,101,0,475,195,211,0,919,460,607,622,673,566,142,76093,35714,1822,594,2645,1583,116,1418,3026,5488,3971,4684,4784,3302,2281,40379,1962,106,3192,1358,731,793,2577,5716,5962,5250,5524,4227,2981,0.4079,"Elmore County, Alabama",,1048,219,570,771,704,684,2661,1423,426,112,303,228,208,208,244,364,420,411,349,450,91,1544,150,208,380,161,228,208,574,334,517,521,513,287,127,2624,1427,263,322,517,461,164,306,666,877,813,463,388,497,156,1618,372,112,792,550,293,351,362,676,579,545,527,397,278,0.0287
"G0100550","2022","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"0500000US01055","01055","Etowah County, Alabama",103088,99356,352,886,549,1945,101261,17774,7007,786,0,692,320,245,157,764,504,881,833,1129,520,176,10767,1173,129,956,435,224,443,1125,1483,916,1000,1326,1198,359,83487,42183,2305,397,4392,800,387,1194,2682,5567,5737,5363,5180,5254,2925,41304,1348,938,2353,864,453,527,3253,4836,5356,6021,5790,5589,3976,0.4437,"Etowah County, Alabama",,1035,514,832,295,797,632,3755,2142,503,208,302,254,257,202,669,387,471,613,598,325,210,2339,778,140,482,334,217,378,535,701,477,565,458,614,264,3759,2123,613,391,780,349,393,294,665,634,734,627,636,395,256,2172,445,546,612,427,377,352,491,796,763,626,592,727,301,0.0322
"G0100690","2022","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"0500000US01069","01069","Houston County, Alabama",108079,103859,263,1114,1028,1815,107230,18773,8434,1275,273,1371,403,186,309,653,935,757,553,976,532,211,10339,1072,187,797,391,191,232,961,1660,911,1086,1435,696,720,88457,42882,2008,794,2925,1178,282,1390,3760,5429,5821,5696,5728,4831,3040,45575,2228,290,2514,2209,980,587,3411,5471,6163,5995,6090,5481,4156,0.4911,"Houston County, Alabama",,679,225,404,294,527,174,2327,1294,388,187,379,174,137,192,296,350,296,248,290,238,135,1431,353,146,305,182,165,150,352,367,337,307,425,222,306,2339,1310,358,346,493,325,196,306,314,378,349,312,326,254,157,1390,323,192,429,469,341,193,380,410,374,361,426,199,326,0.0246
"G0100730","2022","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"0500000US01073","01073","Jefferson County, Alabama",665409,631409,487,3139,9314,21060,646605,106039,45239,4278,928,5388,1687,1601,1363,6774,5560,4867,3418,4618,3379,1378,60800,4590,666,5464,3603,233,2102,8762,9443,5356,5239,6465,4421,4456,540566,262003,16215,2412,20520,11417,3124,6397,20259,38250,35446,33974,32435,26472,15082,278563,14433,4681,16807,9231,3793,6373,18351,38636,40181,34486,36250,33191,22150,0.5208,"Jefferson County, Alabama",,3166,479,1000,1734,2883,1470,8454,4605,1228,507,1612,703,753,583,1585,1515,1367,1026,1104,1142,531,5488,1270,362,1723,1076,207,942,1942,1576,1347,1688,1339,897,1094,8616,5060,1262,889,2190,1980,944,1195,1773,1619,1609,1140,1294,1228,602,5560,1413,1556,2440,2291,1109,1233,2078,1566,1451,1722,1392,1113,1132,0.0153
"G0100770","2022","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"0500000US01077","01077","Lauderdale County, Alabama",95878,93188,32,390,614,1654,92667,10642,3985,66,0,767,244,270,289,724,44,341,419,388,260,173,6657,365,118,345,381,209,3,1100,974,464,530,657,747,764,82025,40504,1951,330,2354,1880,410,890,3694,5734,4824,4896,5327,5230,2984,41521,2118,188,2493,1673,774,429,3517,4813,5162,5154,5573,5661,3966,0.4486,"Lauderdale County, Alabama",,725,65,356,316,672,274,2361,1007,97,208,518,277,225,237,489,80,327,257,276,161,177,1685,375,206,279,307,219,5,910,630,334,359,438,415,413,2414,1208,280,287,612,695,218,281,622,615,464,473,344,267,212,1718,381,183,582,687,334,289,965,574,662,651,584,534,347,0.0285
"G0100810","2022","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"0500000US01081","01081","Lee County, Alabama",180773,168525,0,2371,3367,6510,173273,26217,13653,334,0,296,176,181,162,9684,1136,154,667,424,273,166,12564,425,0,627,429,175,46,5319,1257,867,432,1175,1115,697,147056,73460,4601,1478,5959,3061,443,2215,6069,10034,11461,8502,9189,6670,3778,73596,3901,461,6238,2397,929,2046,5614,10785,10866,9892,9196,7131,4140,0.4911,"Lee County, Alabama",,1794,208,835,1154,1401,442,3380,1995,443,208,331,233,185,222,1502,586,134,470,382,261,146,2370,431,208,689,422,183,84,1267,673,424,374,534,525,383,3387,1964,687,893,1255,881,328,590,1513,1202,1211,779,494,473,374,2591,753,291,825,704,619,798,1411,1000,676,501,561,617,522,0.0215
